item_id,Tên Vật Phẩm,Tần Suất Sử Dụng (Tháng)
1,Kiếm của Valor,120
2,Shield Aegis,80
3,Sách Ma Thuật Arcane,90
4,Cung Thunderbolt,60
5,Giáp Vảy Rồng,100
6,Kiếm Lưỡi Lửa,110
7,Shield Băng,50
8,Cán Ma Thuật,130
9,Crossbow Chính Xác,95
10,Giáp Plate,70
11,Dagger Bóng,55
12,Rìu Chiến,85
13,Áo Robe của Archmage,115
14,Găng Tay Sức Mạnh,65
15,Trident của Biển,90
16,Mũ Insight,75
17,Cung Dài của Rừng,50
18,Shields của Tổ Tiên,100
19,Sách Ma Thuật Bóng,85
20,Rìu Chiến của Titan,70
21,Giáp Da,150
22,Shields Sắt,130
23,Cán Gỗ,160
24,Kiếm Ngắn,145
25,Crossbow,120
26,Giáp Dây,100
27,Shields Thép,110
28,Cán Lửa,90
29,Kiếm Dài,130
30,Giáp Plate Nặng,70
31,Cán Ma Thuật,125
32,Rìu Lớn,80
33,Cung Elven,85
34,Shields Pha Lê,110
35,Cán Bóng Lửa,95
36,Giáp Gai,65
37,Kiếm của Tổ Tiên,140
38,Shields Valor,110
39,Amulet của Sức Mạnh,75
40,Găng Tay Chiến Binh,90